央视,#genre#

CCTV1,http://192.168.1.99:5050/udp/239.49.0.207:8000
CCTV1,http://192.168.1.99:5050/udp/239.49.8.19:9614
CCTV1,http://192.168.1.99:5050/udp/239.49.8.129:6000

CCTV2,http://192.168.1.99:5050/udp/239.49.8.50:9802
CCTV2,http://192.168.1.99:5050/udp/239.49.8.130:6000

CCTV3,http://192.168.1.99:5050/udp/239.49.0.28:8000
CCTV3,http://192.168.1.99:5050/udp/239.49.8.74:8000

CCTV4,http://192.168.1.99:5050/udp/239.49.8.51:9806
CCTV4,http://192.168.1.99:5050/udp/239.49.8.131:6000

CCTV5,http://192.168.1.99:5050/udp/239.49.0.29:8000
CCTV5,http://192.168.1.99:5050/udp/239.49.0.206:8000
CCTV5,http://192.168.1.99:5050/udp/239.49.8.75:8000

CCTV6,http://192.168.1.99:5050/udp/239.49.0.73:8000
CCTV6,http://192.168.1.99:5050/udp/239.49.8.76:8000

CCTV7,http://192.168.1.99:5050/udp/239.49.0.126:8000

CCTV8,http://192.168.1.99:5050/udp/239.49.0.79:8000
CCTV8,http://192.168.1.99:5050/udp/239.49.8.77:8000

CCTV9,http://192.168.1.99:5050/udp/239.49.8.53:9814

CCTV10,http://192.168.1.99:5050/udp/239.49.8.54:9818
CCTV10,http://192.168.1.99:5050/udp/239.49.8.134:6000

CCTV11,http://192.168.1.99:5050/udp/239.49.0.127:8000

CCTV12,http://192.168.1.99:5050/udp/239.49.8.55:9822
CCTV12,http://192.168.1.99:5050/udp/239.49.8.135:6000

CCTV13,http://192.168.1.99:5050/udp/239.49.0.196:8000
CCTV13,http://192.168.1.99:5050/udp/239.49.8.109:8000

CCTV14,http://192.168.1.99:5050/udp/239.49.8.56:9826
CCTV14,http://192.168.1.99:5050/udp/239.49.8.136:6000

CCTV15,http://192.168.1.99:5050/udp/239.49.0.128:8000

CCTV16,http://192.168.1.99:5050/udp/239.49.8.31:8000

CCTV17,http://192.168.1.99:5050/udp/239.49.8.52:9810
CCTV17,http://192.168.1.99:5050/udp/239.49.8.132:6000

CCTV4K,http://192.168.1.99:5050/udp/239.49.0.193:8000
CCTV5+,http://192.168.1.99:5050/udp/239.49.8.18:9610
